ダウンロードした時刻：2024/09/14 09:38:10

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),平均風速(m/s),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa),平均蒸気圧(hPa),平均雲量(10分比),平均雲量(10分比),平均雲量(10分比)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2021/8/5,29.1,8,1,0,1,8,1,11.7,0,8,1,0,1,8,1,2.8,8,1,29.0,8,1,5.8,8,1
2021/8/6,29.1,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,2.9,8,1,29.5,8,1,4.0,8,1
2021/8/7,27.9,8,1,2.0,0,8,1,1.5,0,8,1,0,1,8,1,2.5,8,1,32.0,8,1,9.0,8,1
2021/8/8,25.9,8,1,90.5,0,8,1,0.1,0,8,1,0,1,8,1,3.0,8,1,32.3,8,1,10.0,8,1
2021/8/9,28.1,8,1,2.0,0,8,1,3.9,0,8,1,0,1,8,1,6.1,8,1,31.9,8,1,6.0,8,1
2021/8/10,31.0,8,1,0.0,0,8,1,9.2,0,8,1,0,1,8,1,4.7,8,1,26.1,8,1,4.8,8,1
2021/8/11,29.2,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,2.9,8,1,24.7,8,1,9.3,8,1
2021/8/12,26.0,8,1,0.5,0,8,1,0.7,0,8,1,0,1,8,1,2.4,8,1,28.3,8,1,9.5,8,1
2021/8/13,22.5,8,1,20.5,0,8,1,0.0,0,8,1,0,1,8,1,2.7,8,1,26.4,8,1,10.0,8,1
2021/8/14,22.3,8,1,77.0,0,8,1,0.0,0,8,1,0,1,8,1,2.7,8,1,27.0,8,1,10.0,8,1
2021/8/15,19.3,8,1,138.5,0,8,1,0.0,0,8,1,0,1,8,1,2.0,8,1,22.4,8,1,10.0,8,1
2021/8/16,20.7,8,1,2.0,0,8,1,0.0,0,8,1,0,1,8,1,1.8,8,1,23.8,8,1,10.0,8,1
2021/8/17,23.7,8,1,23.5,0,8,1,1.2,0,8,1,0,1,8,1,2.4,8,1,28.0,8,1,10.0,8,1
